trip_distance_id,trip_distance
1561,10.05
1562,19.69
1563,24.78
1564,13.68
1565,16.13
1566,17.04
1567,12.9
1568,13.21
1569,12.96
1570,26.39
1571,27.6
1572,11.2
1573,15.44
1574,13.92
1575,28.33
1576,18.43
1577,30.34
1578,11.93
1579,16.85
1580,19.0
1581,27.5
1582,23.57
1583,10.74
1584,18.84
1585,23.05
1586,17.18
1587,20.0
1588,45.67
1589,10.92
1590,18.8
1591,18.64
1592,26.15
1593,11.67
1594,10.96
1595,17.73
1596,14.95
1597,12.61
1598,11.76
1599,12.36
1600,11.13
1601,11.55
1602,16.74
1603,18.54
1604,13.12
1605,35024.28
1606,19.31
1607,18.76
1608,13.25
1609,11.69
1610,14.39
1611,19.49
1612,10.29
1613,10.81
1614,16.39
1615,10.03
1616,14.14
1617,16.15
1618,32.82
1619,17.21
1620,12.77
1621,18.39
1622,14.4
1623,15.13
1624,13.97
1625,13.24
1626,29.46
1627,11.66
1628,16.92
1629,30.36
1630,21.25
1631,12.53
1632,19.25
1633,14.74
1634,14.71
1635,15.85
1636,21.1
1637,18.82
1638,11.54
1639,12.71
1640,9.73
1641,14.67
1642,16.81
1643,16.12
1644,19.33
1645,15.48
1646,16.91
1647,10.68
1648,17.38
1649,11.73
1650,11.45
1651,21.71
1652,15.18
1653,21.44
1654,21.27
1655,18.18
1656,12.18
1657,9.58
1658,20.11
1659,14.37
1660,12.05
1661,15.98
1662,16.09
1663,16.82
1664,31389.54
1665,17.48
1666,9205.53
1667,19.87
1668,4076.9
1669,12.41
1670,24809.32
1671,16.86
1672,23.14
1673,18.42
1674,20.99
1675,17.81
1676,6189.36
1677,19.81
1678,29.51
1679,9.39
1680,15.33
1681,10.73
1682,10.71
1683,21.18
1684,12.64
1685,22.65
1686,15.54
1687,14.78
1688,25.27
1689,26.31
1690,34.26
1691,43267.14
1692,13484.44
1693,14.98
1694,18.51
1695,17.22
1696,11.39
1697,17.66
1698,23.09
1699,10.51
1700,21.56
1701,10.32
1702,12.39
1703,21144.91
1704,15.09
1705,27796.08
1706,18.29
1707,10.79
1708,11.64
1709,18.5
1710,22.87
1711,15.31
1712,14.89
1713,16.36
1714,15.55
1715,11.04
1716,39789.73
1717,13371.51
1718,11.98
1719,14.75
1720,18.38
1721,21.79
1722,35.15
1723,8.48
1724,21.84
1725,16.06
1726,50.08
1727,13.81
1728,14.59
1729,13.09
1730,14553.32
1731,12.29
1732,10.77
1733,23.55
1734,154650.47
1735,45719.16
1736,10.64
1737,20.52
1738,21.8
1739,28.71
1740,43134.12
1741,17.84
1742,13.7
1743,11.61
1744,22.68
1745,10.53
1746,12.94
1747,11.44
1748,18.23
1749,12.17
1750,12.79
1751,11.56
1752,18.17
1753,22295.74
1754,15.25
1755,15.61
1756,12.58
1757,16.52
1758,10.49
1759,20.44
1760,17.72
1761,6710.7
1762,18.66
1763,11.7
1764,19.51
1765,11.21
1766,11.74
1767,25.28
1768,17.85
1769,46383.82
1770,13.28
1771,18.46
1772,11.87
1773,14.62
1774,15.76
1775,22.11
1776,12.78
1777,28739.45
1778,12.04
1779,14.19
1780,19.71
1781,16.73
1782,20.15
1783,17263.23
1784,23.5
1785,18786.66
1786,13.36
1787,19.13
1788,11.12
1789,31365.65
1790,13.54
1791,18.44
1792,28026.92
1793,12.56
1794,11.68
1795,32.43
1796,17.89
1797,26.54
1798,21.37
1799,18.12
1800,15.34
1801,13.39
1802,19.26
1803,21135.11
1804,14.65
1805,17.06
1806,19.8
1807,19.07
1808,15.2
1809,18.1
1810,21043.65
1811,59.89
1812,34855.29
1813,45369.11
1814,12.75
1815,201421.68
1816,33951.61
1817,18.2
1818,32679.52
1819,20.7
1820,19.08
1821,33005.54
1822,18.02
1823,21656.5
1824,22.37
1825,25.57
1826,49452.14
1827,11.53
1828,13.52
1829,21.73
1830,14.88
1831,17.75
1832,11.47
1833,11.82
1834,10.85
1835,42476.78
1836,18.26
1837,13.61
1838,29681.19
1839,15.81
1840,17.34
1841,19.62
1842,32525.71
1843,21824.07
1844,20.8
1845,27.11
1846,15.59
1847,10.87
1848,16.62
1849,24.13
1850,11.62
1851,18.08
1852,13.95
1853,14.66
1854,19.53
1855,18.86
1856,18.79
1857,103153.6
1858,15.77
1859,24909.38
1860,14254.4
1861,33041.17
1862,21.6
1863,15.21
1864,19.5
1865,18.94
1866,17.78
1867,12.49
1868,25.46
1869,14.28
1870,11.42
1871,20.24
1872,12823.84
1873,14193.75
1874,31664.27
1875,50508.27
1876,16.61
1877,14.32
1878,12.52
1879,21.7
1880,28.44
1881,28.35
1882,20.96
1883,14.35
1884,17.62
1885,18.22
1886,15.35
1887,12.02
1888,22.96
1889,18.72
